freq	db(AC.Vout1/(AC.VinPos-AC.VinNeg))
1.20226443464666866E3	1.38163890176406268E-3
1.23026877084239206E3	1.38162902405123100E-3
1.25892541182495199E3	1.38161867964149088E-3
1.28824955172471256E3	1.38160784819269522E-3
1.31825673858879977E3	1.38159656316939738E-3
1.34896288262488140E3	1.38158470031076686E-3
1.38038426463696906E3	1.38157227449400621E-3
1.41253754465771664E3	1.38155927453662342E-3
1.44543977078179031E3	1.38154563710973233E-3
1.47910838820499380E3	1.38153140551245990E-3
1.51356124847394158E3	1.38151645741232287E-3
1.54881661895118627E3	1.38150084903416492E-3
1.58489319250081451E3	1.38148445090675609E-3
1.62181009739965210E3	1.38146733898965679E-3
1.65958690747933058E3	1.38144941507594399E-3
1.69824365250458831E3	1.38143059856837125E-3
1.73780082879332132E3	1.38141089439964704E-3
1.77827941008399826E3	1.38139030746777003E-3
1.81970085865621733E3	1.38136872700648339E-3
1.86208713671028936E3	1.38134611867189694E-3
1.90546071801188721E3	1.38132248651546274E-3
1.94984459980793479E3	1.38129766570389312E-3
1.99526231502005014E3	1.38127173141190496E-3
2.04173794472201342E3	1.38124457732579331E-3
2.08929613090787081E3	1.38121610920138083E-3
2.13796208955744493E3	1.38118631719250895E-3
2.18776162400618190E3	1.38115511672759350E-3
2.23872113862642141E3	1.38112246723417154E-3
2.29086765282734461E3	1.38108821394877701E-3
2.34422881538102112E3	1.38105243973830305E-3
2.39883291908215535E3	1.38101493769095751E-3
2.45470891574930139E3	1.38097562506321880E-3
2.51188643157549851E3	1.38093451120369615E-3
2.57039578283647074E3	1.38089143448206220E-3
2.63026799196472050E3	1.38084633953733582E-3
2.69153480399803025E3	1.38079912340725253E-3
2.75422870341110126E3	1.38074962194497997E-3
2.81838293133925566E3	1.38069785774493736E-3
2.88403150320332191E3	1.38064365793065003E-3
2.95120922674506492E3	1.38058684318302616E-3
3.01995172048270799E3	1.38052737023566108E-3
3.09029543259634565E3	1.38046509201143630E-3
3.16227766025325163E3	1.38039987094384253E-3
3.23593656938332463E3	1.38033160247004605E-3
3.31131121491517755E3	1.38026005400800789E-3
3.38844156148357367E3	1.38018519869575340E-3
3.46736850461920421E3	1.38010677896368561E-3
3.54813389243204114E3	1.38002465845047029E-3
3.63078054779975901E3	1.37993864962796220E-3
3.71535229107299259E3	1.37984856814785184E-3
3.80189396330946483E3	1.37975426475775964E-3
3.89045145004930992E3	1.37965551024824595E-3
3.98107170564419466E3	1.37955210233731718E-3
4.07380277815313629E3	1.37944378432303250E-3
4.16869383481822098E3	1.37933038457060508E-3
4.26579518813372438E3	1.37921160170400192E-3
4.36515832252246128E3	1.37908721577747251E-3
4.46683592163351317E3	1.37895692488849297E-3
4.57088189627579045E3	1.37882054446103641E-3
4.67735141300226065E3	1.37867767765605320E-3
4.78630092335998292E3	1.37852808964468410E-3
4.89778819382146491E3	1.37837139792700780E-3
5.01187233641321495E3	1.37820733553815655E-3
5.12861384005771992E3	1.37803554740888901E-3
5.24807460264546677E3	1.37785556438878598E-3
5.37031796385402949E3	1.37766709219777517E-3
5.49540873873160507E3	1.37746973002794348E-3
5.62341325206280462E3	1.37726300831024151E-3
5.75439937353493569E3	1.37704654789005465E-3
5.88843655372341335E3	1.37681982646940648E-3
6.02559586091536303E3	1.37658239038789509E-3
6.16595001879097548E3	1.37633370586404258E-3
